variable_code,variable_name,chem_category,unit,observations,n_sites,first_record_utc,last_record_utc
TSS,Total Suspended Solids,NA,mg/L,249981,78,1983-06-03T00:00:00Z,2020-08-11T00:00:00Z
turbid,Turbidity,NA,FNU,69597,13,2001-10-03T00:00:00Z,2019-06-08T00:00:00Z
U,Uranium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
U,Uranium,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
U,Uranium,stream_conc,mg/L,82390,34,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
U,Uranium,stream_flux,kg/ha/d,42784,27,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
UTKN,Unfilt. Total Kjeldahl Nitrogen,precip_conc,mg/L,103148,14,1978-06-22T00:00:00Z,2005-05-10T00:00:00Z
UTKN,Unfilt. Total Kjeldahl Nitrogen,precip_flux,kg/ha/d,98140,10,1978-06-28T00:00:00Z,2005-05-10T00:00:00Z
UTKN,Unfilt. Total Kjeldahl Nitrogen,stream_conc,mg/L,69391,15,1978-06-16T00:00:00Z,2005-05-10T00:00:00Z
UTKN,Unfilt. Total Kjeldahl Nitrogen,stream_flux,kg/ha/d,65635,12,1978-06-16T00:00:00Z,2005-05-10T00:00:00Z
UTN,Unfiltered Total Nitrogen,precip_conc,mg/L,141620,10,1978-06-28T00:00:00Z,2017-04-05T00:00:00Z
UTN,Unfiltered Total Nitrogen,precip_flux,kg/ha/d,141620,10,1978-06-28T00:00:00Z,2017-04-05T00:00:00Z
UTN,Unfiltered Total Nitrogen,stream_conc,mg/L,107963,9,1978-06-28T00:00:00Z,2019-05-22T00:00:00Z
UTN,Unfiltered Total Nitrogen,stream_flux,kg/ha/d,107963,9,1978-06-28T00:00:00Z,2019-05-22T00:00:00Z
UTP,Unfiltered Total Phosphorus,precip_conc,mg/L,165182,14,1974-10-30T00:00:00Z,2017-04-05T00:00:00Z
UTP,Unfiltered Total Phosphorus,precip_flux,kg/ha/d,154850,10,1974-11-13T00:00:00Z,2017-04-05T00:00:00Z
UTP,Unfiltered Total Phosphorus,stream_conc,mg/L,131605,16,1974-10-01T00:00:00Z,2019-05-22T00:00:00Z
UTP,Unfiltered Total Phosphorus,stream_flux,kg/ha/d,123817,13,1974-10-01T00:00:00Z,2019-05-22T00:00:00Z
V,Vanadium,precip_conc,mg/L,38298,26,2011-03-29T00:00:00Z,2019-04-20T00:00:00Z
V,Vanadium,precip_flux,kg/ha/d,38298,26,2011-03-29T00:00:00Z,2019-04-20T00:00:00Z
V,Vanadium,stream_conc,mg/L,82454,35,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
V,Vanadium,stream_flux,kg/ha/d,42702,28,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
VSS,Volatile Suspended Sediment,NA,mg/L,12262,3,2009-05-07T00:00:00Z,2020-08-11T00:00:00Z
W,Tungsten,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
W,Tungsten,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
W,Tungsten,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
W,Tungsten,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Y,Yttrium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Y,Yttrium,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Y,Yttrium,stream_conc,mg/L,106122,22,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Y,Yttrium,stream_flux,kg/ha/d,45657,19,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Yb,Ytterbium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Yb,Ytterbium,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Yb,Ytterbium,stream_conc,mg/L,79923,21,2003-03-30T00:00:00Z,2020-12-02T00:00:00Z
Yb,Ytterbium,stream_flux,kg/ha/d,37947,18,2003-04-11T00:00:00Z,2020-12-02T00:00:00Z
Zn,Zinc,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Zn,Zinc,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Zn,Zinc,stream_conc,mg/L,185384,53,1990-12-03T00:00:00Z,2020-12-02T00:00:00Z
Zn,Zinc,stream_flux,kg/ha/d,88376,36,1990-12-03T00:00:00Z,2020-12-02T00:00:00Z
Zr,Zirconium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Zr,Zirconium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Zr,Zirconium,stream_conc,mg/L,75932,28,2003-03-26T00:00:00Z,2020-12-02T00:00:00Z
Zr,Zirconium,stream_flux,kg/ha/d,30768,19,2003-04-08T00:00:00Z,2020-12-02T00:00:00Z
